code	label	costo_procedimiento	numero_personas_atendidas	costo_proc_usuario
CCF001	COMFAMILIAR CAMACOL	472640.0	14.0	33760.0
CCF002	CONFAMA	68279510.0	2438.0	28006.361771944215
CCF009	COMFABOY	13720047.0	144.0	95278.10416666667
CCF015	COMFACOR	180323177.0	1663.0	108432.45760673481
CCF018	CAFAM	23699105.0	271.0	87450.57195571956
CCF023	COMFAGUAJIRA	12758268.0	278.0	45893.05035971223
CCF024	COMFAMILIAR HUILA	155876007.0	3189.0	48879.27469426153
CCF027	COMFAMILIAR NARIÑO	76935410.0	1845.0	41699.40921409214
CCF031	CAJASAN	100335.0	13.0	7718.076923076923
CCF045	FAMISALUD COMFANORTE A.R.S	2163912.0	68.0	31822.235294117647
CCF053	COMFACUNDI	19220242.0	67.0	286869.2835820895
CCF101	COLSUBSIDIO	5520554.0	17.0	324738.4705882353
CCF102	COMFACHOCO	9255400.0	151.0	61294.03973509934
CCFC27	COMFAMILIAR NARI&#209;O EPS -CCF	215765.0	20.0	10788.25
EAS016	EPM	3112706.0	5.0	622541.2
EAS027	FERROCARRILES NALES	407675.0	27.0	15099.074074074075
EMP002	EMP CAFESALUD	82086608.0	2426.0	33836.194558944764
EMP015	EMP MEDISANITAS S. A.	333670.0	6.0	55611.666666666664
EMP017	EMP COLMENA S.A	2114516.0	7.0	302073.71428571426
EMP023	COLSANITAS S.A. COMPAÑÍA DE MEDICINA PRE	18326035.0	94.0	194957.81914893616
EMP028	SALUD COOMEVA  MEDICINA PREPAGADA S. A.	8238086.0	386.0	21342.19170984456
EMP029	COLPATRIA MEDICINA PREPAGADA S.A.	120134.0	3.0	40044.666666666664
EPS001	ALIANSALUD	13248500.0	342.0	38738.304093567254
EPS002	SALUD TOTAL	1780126158.0	74631.0	23852.369095952083
EPS003	CAFESALUD	1154852925.0	35264.0	32748.77849931942
EPS005	SANITAS	59724236.0	162.0	368668.1234567901
EPS008	COMPENSAR	58060963.0	676.0	85888.99852071005
EPS009	COMFENALCO ANTIOQUIA	10120599.0	288.0	35140.96875
EPS010	EPS SURA	4961283286.0	179034.0	27711.40278382877
EPS012	COMFENALCO VALLE	56488432.0	18.0	3138246.222222222
EPS013	SALUDCOOP	5040029706.0	160219.0	31457.12871756783
EPS016	COOMEVA	1069243132.0	34836.0	30693.62533011827
EPS017	FAMISANAR	2568027565.0	64774.0	39645.96234600303
EPS018	SOS	154090449.0	881.0	174904.0283768445
EPS020	CAPRECOM	768638598.0	11509.0	66785.87175254148
EPS022	CONVIDA	117748008.0	1613.0	72999.38499690019
EPS023	CRUZ BLANCA	880016534.0	27758.0	31703.167879530225
EPS025	CAPRESOCA	207224.0	4.0	51806.0
EPS028	CALISALUD	2111646.0	3.0	703882.0
EPS030	CONDOR	6353252.0	76.0	83595.42105263157
EPS033	SALUDVIDA	36482756.0	689.0	52950.29898403483
EPS037	NUEVA EPS	1685178294.0	61516.0	27394.146140841407
EPS039	GOLDEN GROUP	11066295.0	630.0	17565.54761904762
EPS044	MEDIMAS Contributivo	271790457.0	585.0	464599.0717948718
EPS045	MEDIMAS Movilidad	4341144.0	92.0	47186.34782608696
EPSI01	DUSAKAWI E.P.S.I.	626658.0	47.0	13333.148936170213
EPSI02	MANEXKA	5471640.0	156.0	35074.61538461538
EPSI03	AIC-EPSI-I	10837505.0	219.0	49486.324200913245
EPSI04	ANASWAYUU	9311673.0	309.0	30134.864077669903
EPSI05	MALLAMAS	94996925.0	2483.0	38258.930728956904
EPSIC5	ENTIDAD PROMOTORA DE SALUD  MALLAMAS  EP	308330.0	11.0	28030.0
EPSS02	SALUD TOTAL	3743509.0	3.0	1247836.3333333333
EPSS03	CAFESALUD	7213275.0	140.0	51523.392857142855
EPSS14	HUMANA VIVIR	63312384.0	375.0	168833.024
EPSS16	COOMEVA EPS  SA	2064792.0	120.0	17206.6
EPSS17	EPS  FAMISANAR LTDA	9995760.0	321.0	31139.439252336448
EPSS26	SOLSALUD	4206332.0	181.0	23239.403314917126
EPSS33	SALUDVIDA	55180911.0	703.0	78493.47226173541
EPSS34	CAPITAL SALUD	19147563.0	175.0	109414.64571428571
EPSS40	Alianza Medellin -savia Salud	243240474.0	3765.0	64605.70358565737
EPSS44	MEDIMAS Movilidad	294828.0	11.0	26802.545454545456
EPSS45	MEDIMAS Subsidiado	47619897.0	100.0	476198.97
EPST01	SAVIA SALUD EPS	35784241.0	1065.0	33600.22629107981
ESS002	EMDISALUD	92345715.0	2369.0	38980.88433938371
ESS024	COOSALUD E.S.S.	81524177.0	2528.0	32248.487737341773
ESS062	ASMET SALUD	338216713.0	7236.0	46740.839275843005
ESS076	AMBUQ	83901123.0	784.0	107016.73852040817
ESS091	ECOOPSOS	47904816.0	653.0	73361.12710566615
ESS118	EMSSANAR E.S.S.	2233206692.0	46237.0	48299.12606786773
ESS133	COMPARTA	292021648.0	6081.0	48021.97796415063
ESS207	MUTUAL SER	452314963.0	8315.0	54397.46999398677
MIN001	FONDO DE SOLIDARIDAD Y GARANTIA	2355100.0	19.0	123952.63157894737
RES002	ECOPETROL	57659957.0	299.0	192842.66555183945
RES007	UVALLE	30624412.0	56.0	546864.5
RES008	UNISALUD	42783239.0	636.0	67269.24371069182
RES009	UCAUCA	1839115.0	5.0	367823.0
RES014	UPTC	2734686.0	25.0	109387.44
