code	label	costo_procedimiento	numero_personas_atendidas	costo_proc_usuario
01	SISTEMA NERVIOSO	186685000.0	847.0	220407.3199527745
02	SISTEMA ENDOCRINO	6904424.0	39.0	177036.5128205128
03	SISTEMA VISUAL	38707356.0	324.0	119467.14814814815
04	SISTEMA AUDITIVO	646007.0	11.0	58727.90909090909
05	NARIZ, BOCA Y FARINGE	183724779.0	1620.0	113410.35740740741
06	SISTEMA RESPIRATORIO	101950031.0	126.0	809127.2301587302
07	SISTEMA CIRCULATORIO	64794417.0	317.0	204398.79179810727
08	SISTEMA HEMATICO Y LINFATICO	9983922.0	31.0	322062.0
09	SISTEMA DIGESTIVO	587881139.0	1579.0	372312.31095630146
10	SISTEMA URINARIO	47986975.0	83.0	578156.3253012048
11	SISTEMA REPRODUCTOR MASCULINO	24026654.0	15.0	1601776.9333333333
12	SISTEMA REPRODUCTOR FEMENINO	31828828.0	164.0	194078.21951219512
13	SISTEMA OSTEOMUSCULAR	2207427271.0	4076.0	541567.0439156035
14	SISTEMA TEGUMENTARIO	250590034.0	1526.0	164213.65268676277
15	IMAGENOLOGIA	5814423894.0	76741.0	75766.85075774358
16	CONSULTA, MONITORIZACION Y PROCEDIMIENTOS DIAGNÓSTICOS	482709003.0	13367.0	36111.9924440787
17	LABORATORIO CLÍNICO	11437212385.0	625488.0	18285.262682897195
18	MEDICINA TRANSFUSIONAL Y BANCO DE SANGRE	63297725.0	510.0	124113.1862745098
19	MEDICINA NUCLEAR Y RADIOTERAPIA +	403382739.0	1703.0	236865.96535525544
20	DESEMPEÑO FUNCIONAL Y REHABILITACION +	1271790679.0	12983.0	97958.1513517677
21	SALUD MENTAL	3225540.0	35.0	92158.28571428571
22	DIAGNOSTICO Y TRATAMIENTO EN SISTEMAS VISUAL Y AUDITIVO +	39817719.0	982.0	40547.57535641548
23	OTROS PROCEDIMIENTOS NO QUIRURGICOS	15184274.0	264.0	57516.18939393939
24	PROCEDIMIENTOS MISCELANEOS +	2431989663.0	11071.0	219672.08590009937
25	PROCEDIMIENTOS E INTERVENCIONES COLECTIVAS +	59128556.0	257.0	230072.20233463036
