code	label	costo_procedimiento	numero_personas_atendidas	costo_proc_usuario
01	PROCEDIMIENTOS EN CRANEO, CEREBRO Y MENINGES CEREBRALES	600377.0	7.0	85768.14285714286
02	OTROS PROCEDIMIENTOS EN CRANEO, CEREBRO Y MENINGES CEREBRALES	7346955.0	15.0	489797.0
03	PROCEDIMIENTOS EN MEDULA ESPINAL Y ESTRUCTURAS DEL CANAL RAQUIDEO Excluye: DESCOMPRESION MEDIANTE VERTEBRECTOMÍA  (77.89 Y 77.99), DISCECTOMIA, Y DISCOLISIS (80.5)	56572443.0	67.0	844364.8208955224
04	PROCEDIMIENTOS EN NERVIOS CRANEALES Y PERIFERICOS	48656330.0	284.0	171325.10563380283
05	PROCEDIMIENTOS EN NERVIOS O GANGLIOS SIMPATICOS	73508895.0	474.0	155082.05696202532
06	PROCEDIMIENTOS EN LAS GLANDULAS TIROIDES Y PARATIROIDES INCLUYE: RESECCIÓN ACCIDENTAL DE HUESO HIODES SimultAneo: CUALQUIER ESCISIÓN DE GALNGLIO LINFATICO REGIONAL (403) O CERVICAL (404)	6904424.0	39.0	177036.5128205128
08	PROCEDIMIENTOS EN PARPADOS INCLUYE: PROCEDIMIENTOS EN CEJAS SimultAneo: CUALQUIER RECONSTRUCCION SIMULTANEA (08.6,08.8)	822583.0	249.0	3303.5461847389556
09	PROCEDIMIENTOS E INTERVENCIONES EN APARATO LAGRIMAL	2280931.0	6.0	380155.1666666667
10	PROCEDIMIENTOS EN CONJUNTIVA	3536859.0	12.0	294738.25
11	PROCEDIMIENTOS EN CORNEA	1050835.0	24.0	43784.791666666664
12	PROCEDIMIENTOS EN IRIS, CUERPO CILIAR, ESCLERA Y CAMARA ANTERIOR	3981897.0	8.0	497737.125
13	PROCEDIMIENTOS EN CRISTALINO	11883325.0	14.0	848808.9285714285
14	PROCEDIMIENTOS EN RETINA, COROIDES, VITREO Y CAMARA POSTERIOR	10281757.0	6.0	1713626.1666666667
15	PROCEDIMIENTOS EN MUSCULOS EXTRAOCULARES	33678.0	1.0	33678.0
16	PROCEDIMIENTOS EN ORBITA Y GLOBO OCULAR	4835491.0	4.0	1208872.75
18	PROCEDIMIENTOS EN OIDO EXTERNO INCLUYE: CONDUCTO AUDITIVO EXTERNO, PIEL Y CARTILAGO DE PABELLON AURICULAR Y MEATO	384731.0	4.0	96182.75
19	PROCEDIMIENTOS RECONSTRUCTIVOS EN OIDO MEDIO	20000.0	3.0	6666.666666666667
20	OTROS PROCEDIMIENTOS EN EL OIDO MEDIO Y EL OIDO INTERNO SimultAneo: CUALQUIER TIMPANOPLASTIA (19.4,)	241276.0	4.0	60319.0
21	PROCEDIMIENTOS EN NARIZ INCLUYE: ESQUELETO NASAL Y PIEL DE NARIZ	2988107.0	39.0	76618.1282051282
22	PROCEDIMIENTOS EN SENOS PARANASALES	15740761.0	425.0	37037.08470588236
23	PROCEDIMIENTOS EN DIENTES	53607057.0	551.0	97290.48457350272
24	PROCEDIMIENTOS EN DIENTES, ENCÍAS Y ALVEOLOS [TERAPIA PERIODONTAL]	3050792.0	8.0	381349.0
25	PROCEDIMIENTOS E INTERVENCIONES EN LENGUA SimultAneo: CUALQUIER VACIAMIENTO LINFATICO DE CUELLO (40.4); TRAQUEOSTOMIA (31.1)	476862.0	6.0	79477.0
26	PROCEDIMIENTOS EN GLANDULAS Y CONDUCTOS SALIVALES INCLUYE: GLANDULA Y CONDUCTOS PAROTIDEOS, SALIVALES MENORES, SUBLINGUALES, SUBMAXILARES SimultAneo: CUALQUIER VACIAMIENTO LINFATICO DE CUELLO (40.4)	103621940.0	569.0	182112.3725834798
27	PROCEDIMIENTOS E INTERVENCIONES EN BOCA Y CARA INCLUYE: LABIOS, PALADAR, TEJIDOS BLANDOS DE CARA Y BOCA,	2748141.0	8.0	343517.625
29	PROCEDIMIENTOS EN FARINGE INCLUYE: HIPOFARINGE, NASOFARINGE, OROFARINGE, SACO FARINGEO Y SENO PIRIFORME	1491119.0	14.0	106508.5
30	PROCEDIMIENTOS EN LARINGE	462.0	4.0	115.5
31	PROCEDIMIENTOS EN LARINGE Y TRAQUEA	50727260.0	44.0	1152892.2727272727
32	PROCEDIMIENTOS EN PULMON Y BRONQUIO INCLUYE: ESTERNOTOMIA (TOTAL O LONGITUDINAL), RESECCIÓN DE COSTILLA, O TORACOTOMIA, COMO VÍA DE ACCESO QUIRURGICO	22083273.0	3.0	7361091.0
33	OTROS PROCEDIMIENTOS EN BRONQUIO Y PULMON INCLUYE: ESTERNOTOMIA (TOTAL O LONGITUDINAL), RESECCIÓN DE COSTILLA, O TORACOTOMIA, COMO VÍA DE ACCESO QUIRURGICO	20495458.0	44.0	465805.86363636365
34	PROCEDIMIENTOS EN PARED TORACCICA, PLEURA, MEDIASTINO Y DIAFRAGMA Excluye: PROCEDIMIENTOS EN MAMA (85)	8643578.0	31.0	278825.0967741936
36	PROCEDIMIENTOS EN VASOS CARDIACOS (CORONARIAS) INCLUYE: ESTERNOTOMIA (MEDIA) (TRANSVERSA), TORACOTOMIA COMO VÍA DE ACCESO QUIRURGICO SimultAneo:  CUANDO SE REALICE DERIVACIÓN CARDIOPULMONAR [CIRCULACION EXTRACORPOREA] (39.6.1)	7897240.0	5.0	1579448.0
37	PROCEDIMIENTOS EN CORAZON Y PERICARDIO SimultAneo: CUANDO SE REALICE DERIVACIÓN CARDIOPULMONAR [CIRCULACION EXTRACORPOREA] (39.6.1)	18800087.0	18.0	1044449.2777777778
38	PROCEDIMIENTOS EN VASOS SANGUINEOS (INCISIÓN, ESCISIÓN Y OCLUSIÓN) SimultAneo: CUANDO SE REALICE DERIVACIÓN CARDIOPULMONAR [CIRCULACION EXTRACORPOREA] (39.6.1)  Excluye:  AQUELLOS DE VASOS CORONARIOS (36)	26217673.0	278.0	94308.17625899281
39	OTROS PROCEDIMIENTOS EN VASOS SANGUINEOS	11879417.0	16.0	742463.5625
40	PROCEDIMIENTOS EN EL SISTEMA LINFATICO	4349405.0	12.0	362450.4166666667
41	PROCEDIMIENTOS EN MEDULA OSEA Y BAZO	5634517.0	19.0	296553.5263157895
42	PROCEDIMIENTOS EN ESÓFAGO	13280852.0	105.0	126484.30476190476
43	PROCEDIMIENTOS EN ESTOMAGO	1139455.0	3.0	379818.3333333333
44	OTRAS PROCEDIMIENTOS EN EL ESTOMAGO	25536785.0	13.0	1964368.076923077
45	PROCEDIMIENTOS EN INTESTINO	485598830.0	1334.0	364017.1139430285
46	OTROS PROCEDIMIENTOS EN INTESTINO	2066344.0	5.0	413268.8
47	PROCEDIMIENTOS EN APENDICE INCLUYE:RESTO O MUÑÒN DE APENDICE	591220.0	1.0	591220.0
48	PROCEDIMIENTOS EN RECTO, RECTOSIGMOIDE Y TEJIDO PERIRRECTAL	3363734.0	20.0	168186.7
49	PROCEDIMIENTOS EN ANO	271200.0	1.0	271200.0
50	PROCEDIMIENTOS EN HIGADO	3340521.0	10.0	334052.1
51	PROCEDIMIENTOS EN VESICULA BILIAR Y TRACTO BILIAR INCLUYE: PROCEDIMIENTOS SOBRE AMPOLLA HEPATOPANCREATICA(WATER), CONDUCTO CISTICO,CONDUCTO HEPATICO, CONDUCTO BILIAR INTRAHEPATICO, COLEDOCO, ESFINTER DE ODDI	11100577.0	7.0	1585796.7142857143
53	PROCEDIMIENTOS EN PARED ABDOMINAL INCLUYE: HERNIOPLASTIA, HERNIORRAFIA, HERNIOTOMIA Excluye: REDUCCIÓN MANUAL DE HERNIA (96.2.7)	4170385.0	8.0	521298.125
54	OTROS PROCEDIMIENTOS EN PARED ABDOMINAL INCLUYE: CAVIDAD PELVICA MASCULINA, EPIPLON, ESPACIO RETROPERITONEAL, FLANCOS, HIPOCONDRIOS, MESENTERIO, PERITONEO, REGION COSTAL, CRURAL, EPIGASTRICA,INGUINAL Y LUMBAR Excluye:  PIEL Y TEJIDO CELULAR SUBCUTANEO DE	37421236.0	72.0	519739.3888888889
55	PROCEDIMIENTOS EN RIÑÓN INCLUYE: PROCEDIMIENTOS SOBRE PELVIS RENAL SimultAneo: RESECCIÓN SIMULTANEA DE URETER(564) SI NO SE DESCRIBE COMO NEFROURETERECTOMIA(5551);CODIFICAR ADEMAS CUALQUIER ESCISIÓN SIMULTANEA DE GANGLIOS LINFATICOS (4053-4055) SEGMENTO D	37624494.0	36.0	1045124.8333333334
56	PROCEDIMIENTOS EN URETER Excluye: NEFROURETERECTOMÍA (55.51- 55.54) SimultAneo:    NEFRECTOMIA (55.5.0) SI NO SE DESCRIBE COMO NEFROURETERECTOMIA(55.5.1)	3030290.0	4.0	757572.5
57	PROCEDIMIENTOS EN VEJIGA Excluye: AQUELLA COMO EXANTERACIÓN PELVICA EN MUJER(68.8); AQUELLA DESCRITA COMO URETROCISTOPEXIA (595);ESCISIÓN DE QUISTE URACAL DE PARED ABDOMINAL (54.3)	5216821.0	37.0	140995.16216216216
58	PROCEDIMIENTOS EN URETRA INCLUYE: PROCEDIMIENTOS EN GLANDULA BULBOURETRAL (GLANDULA DE COWPER) Y TEJIDO PERIURETRAL	2051370.0	4.0	512842.5
59	OTROS PROCEDIMIENTOS EN EL TRACTO URINARIO SimultAneo: CODIFICAR TAMBIEN CUALQUIER URETROTOMIA (56.2)	64000.0	2.0	32000.0
60	PROCEDIMIENTOS EN PRÓSTATA Y VESICULAS SEMINALES	16458124.0	3.0	5486041.333333333
61	PROCEDIMIENTOS EN ESCROTO Y TÚNICA VAGINALIS	695636.0	2.0	347818.0
63	PROCEDIMIENTOS EN CORDÓN ESPERMATICO, EPIDÍDIMO Y CONDUCTO DEFERENTE	6640265.0	6.0	1106710.8333333333
