code	label	costo_procedimiento	numero_personas_atendidas	costo_proc_usuario
089101	ABLACIÒN DE PESTAÑAS, POR ELECTROLISIS	106000.0	2	53000.0
142101	ABLACIÓN DE LESIÓN CORIORETINAL, POR DIATERMIA O CRIOTERAPIA +	9741.0	1	9741.0
082501	ABLACIÓN DE LESIÓN DE PARPADOS, POR DIATERMIA O CRIOTERAPIA +	89400.0	3	29800.0
082502	ABLACIÓN DE LESIÓN DE PARPADOS, POR LASER +	75087.0	1	75087.0
906401	ACETILCOLINA RECEPTORES, ANTICUERPOS  BLOQUEADORES +	2000458.0	43	46522.27906976744
903103	ACIDO 5 HIDROXI INDOLACETICO EN ORINA DE 24 H +	20500.0	2	10250.0
903104	ACIDO DELTA AMINOLEVULÍNICO [ALA] EN ORINA DE 24 H +	218900.0	11	19900.0
903106	ACIDO FÓLICO EN ERITROCITOS +	82681.0	2	41340.5
903105	ACIDO FÓLICO [FOLATOS] EN SUERO +	15197548.0	470	32335.2085106383
903109	ACIDO HOMOVALÍNICO EN ORINA DE 24 H +	56968.0	1	56968.0
903110	ACIDO LACTICO [L-LACTATO] POR FLUOROMETRÍA +	520046.0	14	37146.142857142855
903111	ACIDO LACTICO [L-LACTATO] POR METODO ENZIMATICO +	213187.0	5	42637.4
903112	ACIDO PIRÚVICO [PIRUVATO] +	58860.0	2	29430.0
905201	ACIDO VALPROICO	450210.0	14	32157.85714285714
903113	ACIDO VANILMANDELICO [VMA] EN ORINA DE 24 H +	199966.0	14	14283.285714285714
903801	ACIDO ÚRICO	85928557.0	10846	7922.603448275862
903802	ACIDO ÚRICO EN ORINA DE 24 H	623681.0	69	9038.855072463768
908001	ACIDOS ORGANICOS [CADENA CORTA] POR CROMATOGRAFÍA DE GASES	1503970.0	169	8899.23076923077
999101	ACUPUNTURA	537400.0	29	18531.03448275862
999301	ACUPUNTURA	90000.0	3	30000.0
999100	ACUPUNTURA Y TERAPIA NEURAL SOD +	5029380.0	204	24653.823529411766
903401	ADENOSÍN DEAMINASA [ADA] *	47259.0	4	11814.75
902001	ADHESIVIDAD PLAQUETARIA [SALZMAN]	85680.0	1	85680.0
993107	ADMINISTRACION DE TOXOIDE DE TETANOS Excluye: ADMINISTRACION DE ANTITOXINA TETANICA(9941), VACUNAS COMBINADA QUE LO INCLUYEN(993107, 993109-993114)	106646.0	4	26661.5
993105	ADMINISTRACION DE TOXOIDE DIFTERICO Excluye: ADMINISTRACION DE ANTITOXINA DIFTERICA(9943), VACUNAS COMBINADA QUE LO INCLUYEN(993107, 993109-993114)	13000.0	1	13000.0
A20002	ADQUISICION Y ADMINISTRACION DE INSUMOS Y BIOLOGICOS  INCLUYE:  DISTRIBUCION, ALMACENAMIENTO; NIVEL NACIONAL, DEPARTAMENTAL O MUNICIPAL. PARA LEPRA, TUBERCULOSIS, MALARIA, DENGUE, LEISHMANIASIS ENTRE OTRAS ENFERMEDADES DE INTERES EN SALUD PUBLICA.	2062672.0	56	36833.42857142857
906405	ADRENAL, AUTOANTICUERPOS +	62378.0	3	20792.666666666668
906901	AGLUTININAS AL FRIO	133463.0	24	5560.958333333333
902002	AGREGACIÓN PLAQUETARIA, CADA AGENTE	154804.0	4	38701.0
902003	AGREGACIÓN PLAQUETARIA, CURVA	702866.0	10	70286.6
903803	ALBÚMINA	20112802.0	2415	8328.282401656315
903804	ALBÚMINA EN ORINA DE 24 H	238533.0	34	7015.676470588235
905703	ALCALOIDES, CUANTITATIVA POR CROMATOGRAFÍA LÍQUIDA DE ALTA RESOLUCION O DE GASES	17098.0	1	17098.0
903402	ALDOLASA	1540164.0	107	14394.056074766355
904801	ALDOSTERONA	195691.0	7	27955.85714285714
908401	ALFA 1 ANTITRIPSINA POR FENOTIPO	367049.0	17	21591.117647058825
903405	ALFA 1 ANTITRIPSINA POR IDR	37669.0	1	37669.0
903406	ALFA 1 ANTITRIPSINA POR NEFELOMETRÍA	78068.0	2	39034.0
903407	ALFA 1 GLICOPROTEÍNA ACIDA U OROMUCOIDE	84406.0	4	21101.5
903002	ALFA FETOPROTEÍNA [AFP] EN LÍQUIDO AMNIÓTICO Excluye: TOMA DE MUESTRA (413101)	31621.0	2	15810.5
906602	ALFA FETOPROTEÍNA [AFP] SERICA	2745165.0	72	38127.291666666664
240300	ALISADO RADICULAR, CAMPO CERRADO SOD +	1146.0	3	382.0
903805	AMILASA	1323626.0	110	12032.963636363636
903806	AMILASA EN ORINA DE 24 H	23844.0	3	7948.0
903871	AMILASA EN ORINA PARCIAL	5433866.0	944	5756.213983050848
908101	AMINOACIDOS, CUALITATIVOS POR CROMATOGRAFÍA EN ORINA INCLUYE: ASPARRAGINA, LISINA, GLISINA, CISTINA, FENILALANINA, TIROSINA, TRIPTOFANO	6020915.0	207	29086.545893719805
908309	AMINOÁCIDOS CUALITATIVOS	85200.0	1	85200.0
903602	AMONIO	11999.0	1	11999.0
840100	AMPUTACIÓN Y DESARTICULACIÓN DE DEDOS DE LA MANO (UNO O MAS) SOD +	55.0	1	55.0
361300	ANASTOMOSIS AORTOCORONARIA DE TRES ARTERIAS CORONARIAS SOD	29440.0	1	29440.0
904501	ANDROSTENEDIONA	83710.0	5	16742.0
876212	ANGIOCARDIOGRAFIA DE CORAZON DERECHO + INCLUYE: AURICULA DERECHA, VALVULA PULMONAR, VENTRICULO DERECHO(TRACTO DE SALIDA) Excluye: AQUELLA COMBINADA CON ANGIOGRAFIA CARDIACA IZQUIERDA(87.6.2.31)	9856.0	6	1642.6666666666667
360102	ANGIOPLASTIA CORONARIA TRANSLUMINAL PERCUTANEA, MAS DE DOS VASOS	74000.0	1	74000.0
951200	ANGIORRETINOFLUORESCEINOGRAFIA SOD +	425888.0	14	30420.571428571428
904001	ANGIOTENSINA II	108713.0	4	27178.25
901001	ANTIBIOGRAMA (DISCO)	1228177.0	70	17545.385714285716
901002	ANTIBIOGRAMA (MIC) METODO AUTOMATICO	1007820.0	36	27995.0
901003	ANTIBIOGRAMA (MIC) METODO MANUAL	238887.0	4	59721.75
902004	ANTICOAGULANTE CIRCULANTE [LÚPICO]	10926964.0	389	28089.88174807198
902005	ANTICOAGULANTE LÚPICO, PRUEBA CONFIRMATORIA CON VENENO DE VIBORA DE RUSSEL	20752412.0	444	46739.666666666664
