code	label	costo_procedimiento	numero_personas_atendidas	costo_proc_usuario
050010001201	INSTITUTO DEL CORAZON	6430735.0	61.0	105421.88524590163
050010004901	Blanca Oliva Yepes Yepes	80625.0	3.0	26875.0
050010016701	REHABILITAMOS S.A.S	9205639.0	146.0	63052.32191780822
050010029501	OMAR DE JESUS MEJIA MONTOYA	75203.0	4.0	18800.75
050010040701	ALBERTO  FRANCO CUARTAS	281900.0	1.0	281900.0
050010049601	REUMATOLOGYA S A	85862579.0	1250.0	68690.0632
050010049801	FRANCISCO  URIBE TAUTIVA	934786.0	72.0	12983.138888888889
050010052701	JUAN LUIS ARCILA TOVAR	35250.0	1.0	35250.0
050010056801	HANS PETER KALB HECKEL	1118375.0	1.0	1118375.0
050010057601	LUIS SANTIAGO SIERRA RODRIGUEZ	7460860.0	15.0	497390.6666666667
050010065801	DIAGNOSTICO Y ASISTENCIA MEDICA S.A IPS DE SALUD	39906794.0	1173.0	34021.13725490196
050010065804	DINAMICA IPS ALMACENTRO	112216.0	5.0	22443.2
050010065809	DINAMICA IPS CONQUISTADORES	504380.0	19.0	26546.315789473683
050010065814	COMFAMA LA 80	25262.0	6.0	4210.333333333333
050010065829	SEDE 29 DIAGNOSTICO Y ASISTENCIA MEDICA S.A IPS DE SALUD	93005.0	2.0	46502.5
050010087001	ANA BEATRIZ DAVID MONTOYA	15938.0	1.0	15938.0
050010094801	JUAN FERNANDO MOLINA MONTOYA	163887.0	1.0	163887.0
050010103201	JUAN JOSE LOPEZ TAMAYO	641101.0	1.0	641101.0
050010110601	ROBERTO FELIPE MESA BETANCUR	1621777.0	6.0	270296.1666666667
050010115001	FUNDACIÓN INSTITUTO NEUROLOGICO DE COLOMBIA	36370180.0	159.0	228743.27044025157
050010115002	FUNDACION INSTITUTO NEUROLOGICO DE ANTIOQUIA SEDE URABA	2568640.0	4.0	642160.0
050010118801	CLINICA DE OTORRINOLARINGOLOGÍA DE ANTIOQUIA S.A - ORLANT SA	951818.0	11.0	86528.90909090909
050010119803	PRODIAGNOSTICO CENTRAL	1628847.0	11.0	148077.0
050010119805	PRODIAGNOSTICO LAS VEGAS	6022517.0	200.0	30112.585
050010126201	RAFAEL IGNACIO CASTAÑO HINCAPIÈ	157605.0	1.0	157605.0
050010128001	CARLOS EDUARDO ORDUZ GARCIA	438922.0	10.0	43892.2
050010129401	SERVICIOS MEDICOS SAN IGNACIO S.A.S	76396.0	5.0	15279.2
050010140901	JOSE FERNANDO MOLINA RESTREPO	53100.0	1.0	53100.0
050010149801	CLINICA DE OFTALMOLOGIA SANDIEGO S.A	2011410.0	20.0	100570.5
050010150401	CENTRO DE ORTOPEDIA DEL POBLADO	170747.0	4.0	42686.75
050010151501	CENTRO RADIOLOGICO ORAL LAS VEGAS S A	21000.0	1.0	21000.0
050010153901	INSTITUTO DEL TORAX S.A.S	89745089.0	3709.0	24196.572930709088
050010161501	SANTA LUCIA POBLADO	838390.0	14.0	59885.0
050010182701	RICARDO  RESTREPO ARBELAEZ	19314.0	1.0	19314.0
050010199701	ENRIQUE PRADA W S.A.S.	1676959.0	51.0	32881.549019607846
0500102092	COMUNIDAD DE HERMANAS DOMINICAS DE LA PRESENTACION DE LA SANTISIMA VIRGEN DE TOURS PROVINCIA DE MEDELLIN	1615800.0	2.0	807900.0
050010209201	CLINICA EL ROSARIO SEDE CENTRO	21079777.0	26.0	810760.6538461539
050010209202	CLINICA EL ROSARIO SEDE EL TESORO	637828.0	4.0	159457.0
050010210101	SOCIEDAD MEDICA ANTIOQUEÑA S.A. SOMA	7376232.0	19.0	388222.7368421053
050010210401	HOSPITAL PABLO TOBON URIBE	33034708.0	334.0	98906.31137724551
050010211001	CLINICA CARDIO VID	37049275.0	191.0	193975.26178010472
050010211101	FUNDACIÓN SANTA MARÍA	492000.0	8.0	61500.0
050010211102	CLÌNICA DIAGNOSTICA ESPECIALIZADA VID	451449.0	2.0	225724.5
050010211801	CLINICA OFTALMOLÓGICA DE ANTIOQUIA S.A. CLOFAN S.A.	2103481.0	19.0	110709.52631578948
0500102120	INVERSIONES MEDICAS DE ANTIOQUIA S.A. CLINICA LAS VEGAS	6700000.0	1.0	6700000.0
050010212001	INVERSIONES MEDICAS DE ANTIOQUIA S.A. CLINICA LAS VEGAS	88035762.0	112.0	786033.5892857143
050010212401	CORPORACIÓN PARA ESTUDIOS EN SALUD CLINICA CES	19408280.0	65.0	298588.92307692306
050010212601	CLÍNICA LAS AMERICAS	25069987.0	101.0	248217.69306930693
050010214401	HOSPITAL GENERAL DE MEDELLÍN LUZ CASTRO DE GUTIERREZ, EMPRESA SOCIAL DEL ESTADO	11751538.0	51.0	230422.3137254902
050010216001	UNIDAD GASTROENTEROLOGICA S.A.S	1598436.0	8.0	199804.5
0500102161	MEDICOS ASOCIADOS S.A. CLINICA EL SAGRADO CORAZON	462367.0	2.0	231183.5
050010216101	MEDICOS ASOCIADOS S.A. CLINICA EL SAGRADO CORAZON	38134.0	1.0	38134.0
050010216302	CLINICA OFTALMOLOGICA LAURELES SA SEDE ADMINISTRATIVA	113624.0	1.0	113624.0
050010216907	SALUD TOTAL ENTIDAD PROMOTORA DE SALUD DEL REGIMEN CONTRIBUTIVO Y SUBSIDIADO EPS-S S A SAN DIEGO	40700.0	3.0	13566.666666666666
050010217201	CLINICA MEDELLIN S.A	3125484.0	32.0	97671.375
050010217501	FUNDACION HOSPITALARIA SAN VICENTE DE PAUL	28672952.0	331.0	86625.2326283988
0500102178	EMPRESA SOCIAL DEL ESTADO METROSALUD	347840.0	32.0	10870.0
050010217801	SEDE ADMINISTRATIVA EDIFICIO SACATIN	2897740.0	105.0	27597.52380952381
050010217802	UNIDAD HOSPITALARIA DE BELEN HECTOR ABAD GOMEZ	46240.0	6.0	7706.666666666667
050010217804	UNIDAD HOSPITALARIA DE MANRRIQUE HERMENEGILDO DE FEX	6000.0	1.0	6000.0
050010217811	UNIDAD PRESTADORA DE SERVICIOS DE SALUD SAN ANTONIO DE PRADO HOSPITAL DIEGO ECHAVARRIA MISAS	57460.0	3.0	19153.333333333332
050010217815	CENTRO DE SALUD BELEN RINCON	140000.0	1.0	140000.0
050010217834	CENTOR DE SALUD PABLO VI - EMPRESA SOCIAL DEL ESTADO METROSA	4737390.0	264.0	17944.659090909092
050010218601	CLINICA COLSANITAS S.A.	33500.0	3.0	11166.666666666666
050010242101	DEPARTAMENTO DE RADIOLOGIA S.A	30911841.0	363.0	85156.5867768595
050010251401	CENTRO DE MEDICINA DEL EJERCICIO Y REHABILITACION CARDIACA S A CEMDE S A	6160294.0	53.0	116231.96226415095
050010280301	ADOLFO RAUL CUMPLIDO POSADA	399220.0	1.0	399220.0
050010290101	LUIS  IGNACIO LONDOÑO ALVAREZ	1544245.0	8.0	193030.625
050010298901	CENTRO DE ATENCION OCUPACIONAL - JAIME CANO ALVAREZ	5097278.0	41.0	124323.85365853658
050010298902	UNIDAD DE REHABILITACIÓN FUNCIONAL	1289254.0	16.0	80578.375
050010300201	LEON ENRIQUE QUINTERO ALZATE	4218101.0	4.0	1054525.25
050010301001	JORGE ALBERTO ARIAS HENAO	7802383.0	106.0	73607.38679245283
050010315503	DANIEL   ROJAS DIAZ	200000.0	3.0	66666.66666666667
050010320901	EDGAR ALFONSO PULIDO JUNCO	2201679.0	4.0	550419.75
0500103293	CLINICA DE CIRUGIA AMBULATORIA CONQUISTADORES S.A.	23610.0	1.0	23610.0
050010329301	CLINICA DE CIRUGIA AMBULATORIA CONQUISTADORES	472873.0	4.0	118218.25
050010340501	LUIS ENRIQUE ZAMBRANO NARANJO	975520.0	15.0	65034.666666666664
050010344801	CENTRO DE FAMILIA - UPB	81984929.0	56.0	1464016.5892857143
050010344803	CLINICA UNIVERSITARIA BOLIVARIANA	870884.0	11.0	79171.27272727272
0500103468	ESCANOGRAFÍA NEUROLÓGICA S.A	1998662.0	17.0	117568.35294117648
050010346801	ESCANOGRAFÍA NEUROLÓGICA S.A	55642631.0	862.0	64550.61600928074
050010351101	CARMEN ELENA CERON VILLARQUIN	1224500.0	25.0	48980.0
050010379501	INSTITUTO CARDIOVASCULAR Y DE ESTUDIOS ESPECIALES LAS VEGAS	2498380.0	3.0	832793.3333333334
050010381301	SOCIEDAD DE SAN VICENTE DE PAUL DE MEDELLIN	95000.0	2.0	47500.0
050010383201	COOPERATIVA MEDICA SOCIAL COOMSOCIAL	165565574.0	6994.0	23672.51558478696
050010392001	FRACTURAS Y RAYOS X DE ANTIOQUIA S.A.	352763.0	4.0	88190.75
050010392301	CLINICA DE FRACTURAS DE MEDELLÍN LTDA	5286318.0	26.0	203319.92307692306
050010396301	PROLAB SEDE PRADO	3201598.0	110.0	29105.436363636363
050010396901	LABORATORIO MEDICO ECHAVARRIA SEDE CENTRAL DE PROCESOS	4499431.0	363.0	12395.126721763085
050010396902	LABORATORIO MEDICO ECHAVARRIA S.A RIONEGRO	1412516.0	63.0	22420.88888888889
050010411101	ALVARO GERMAN ANGEL MONSALVE	11158.0	1.0	11158.0
050010417201	UNIDAD ESTOMATOLOGICA LAS VEGAS S.A	244986.0	6.0	40831.0
050010420901	COOPERATIVA DE SALUD SAN ESTEBAN	23598960.0	58.0	406878.6206896552
050010421001	CENTRO DE ORTOPEDIA Y TRAUMATOLOGIA EL ESTADIO S.A	32167670.0	140.0	229769.07142857142
050010424601	AUDIOLOGIA Y VESTIBULOMETRIA S.A.S	280381.0	23.0	12190.478260869566
050010425901	SERVICIOS DE SALUD IPS SURAMERICANA S.A	217784584.0	13091.0	16636.206859674585
050010425902	IPS SURA ALMACENTRO MEDELLIN	111721937.0	4860.0	22988.052880658437
050010425908	IPS SURA BELEN MEDELLIN	1219813.0	48.0	25412.770833333332
050010425909	IPS PUNTO DE SALUD BOLIVIA	11922796.0	1133.0	10523.209179170344
050010425911	IPS SURA AGUACATALA MEDELLIN	437008.0	42.0	10404.952380952382
050010425912	IPS SURA MONTERREY MEDELLIN	33425435.0	2184.0	15304.686355311354
050010425913	IPS SURA  CORDOBA MEDELLIN	45129851.0	3006.0	15013.257152361943
050010425914	I.P.S.  SURA ITAGUI	19318569.0	1165.0	16582.462660944206
050010425917	IPS SURA SAMAN MEDELLIN	19024376.0	1198.0	15880.113522537562
050010425918	IPS SURA SALUD EN CASA MEDELLIN	804218.0	18.0	44678.77777777778
050010425919	IPS SURA  INDUSTRIALES MEDELLIN	10055588.0	521.0	19300.552783109404
