code	label	costo_procedimiento	numero_personas_atendidas	costo_proc_usuario
010	INCISIÓN DE CRANEO (PUNCIÓN CRANEAL)	574260.0	4.0	143565.0
011	PROCEDIMIENTOS DIAGNÓSTICOS EN CRANEO, CEREBRO Y MENINGES CEREBRALES	4217.0	2.0	2108.5
013	INCISIÓN DE CEREBRO Y MENINGES CEREBRALES	21900.0	1.0	21900.0
020	CRANEOPLASTIA (REPARACIÓN EN CRANEO) Excluye: AQUELLA CON REPARACIÓN SIMULTANEA DE ENCEFALOCELE (02.1)	5974923.0	3.0	1991641.0
021	REPARACIÓN DE MENINGES CEREBRALES	1372032.0	12.0	114336.0
030	EXPLORACION Y DESCOMPRESION DE ESTRUCTURAS DEL CANAL RAQUIDEO INCLUYE: SEGMENTOS CERVICAL, TORACICO, LUMBAR Y/O SACRO; AQUELLA PARA CORRECCIÓN DE CANAL ESTRECHO SEGMENTARIO	14216848.0	11.0	1292440.7272727273
033	PROCEDIMIENTOS DIAGNÓSTICOS EN LA MEDULA ESPINAL O ESTRUCTURAS DEL CANAL RAQUIDEO	1257393.0	11.0	114308.45454545454
034	ESCISIÓN O ABLACIÒN DE LESIÓN DE LA MEDULA ESPINAL O DE MENINGES ESPINALES INCLUYE: POR TUMOR, ABSCESOS, HEMATOMAS O EMPIEMAS; RESECCIÓN PARCIAL O TOTAL EN SEGMENTOS CERVICALES, DORSALES, LUMBOSACROS O COCCIGEOS;	1317200.0	1.0	1317200.0
035	PROCEDIMIENTOS PLASTICOS EN ESTRUCTURAS DEL CANAL RAQUIDEO INCLUYE: POR MENINGOCELE,MIELOMENINGOCELE, MIELOCELE, MENINGORADICULOCELE,DIASTEMATOMELIA, KLIPPEL FEIL, SIRINGOMIELIA CERVICAL ENTRE OTRAS CAUSAS.	7400.0	1.0	7400.0
036	LISIS DE ADHERENCIAS DE MEDULA ESPINAL Y RAICES DE NERVIOS ESPINALES	1000000.0	1.0	1000000.0
038	INYECCIÓN DE AGENTE DESTRUCTIVO EN EL CANAL ESPINAL + INCLUYE:      EN SEGMENTOS CERVICAL. TORACICO O LUMBAR	26597984.0	30.0	886599.4666666667
039	OTROS PROCEDIMIENTOS EN MEDULA ESPINAL Y ESTRUCTURAS DEL CANAL RAQUIDEO	12175618.0	12.0	1014634.8333333334
040	INCISIÓN, DIVISIÓN Y ESCISIÓN DE NERVIOS CRANEALES Y PERIFERICOS INCLUYE: CRANEOTOMIA COMO VÍA DE ABORDAJE Excluye: GANGLIONECTOMIA SIMPATICA (05.2)	13784.0	2.0	6892.0
041	PROCEDIMIENTOS DIAGNÓSTICOS EN SISTEMA NERVIOSO PERIFERICO	1714259.0	5.0	342851.8
042	ABLACIÓN DE NERVIOS CRANEALES Y PERIFERICOS	5641821.0	5.0	1128364.2
043	SUTURA DE NERVIOS CRANEALES Y PERIFERICOS	155681.0	3.0	51893.666666666664
044	LISIS DE ADHERENCIAS Y DESCOMPRESION DE NERVIOS CRANEALES Y PERIFERICOS	2355767.0	6.0	392627.8333333333
047	NEUROPLASTIA CRANEAL O PERIFERICA	29.0	1.0	29.0
048	INYECCIÓN DENTRO DE NERVIO CRANEAL O PERIFERICO	38774989.0	262.0	147996.14122137404
051	PROCEDIMIENTOS DIAGNÓSTICOS EN NERVIOS O GANGLIOS SIMPATICOS	614970.0	2.0	307485.0
053	INYECCIÓN EN NERVIO O GANGLIO SIMPATICO	72893925.0	472.0	154436.28177966102
060	INCISIÓN EN EL AREA TIROIDEA	921764.0	2.0	460882.0
061	PROCEDIMIENTOS DIAGNÓSTICOS EN GLANDULAS PARATIROIDES Y TIROIDES	5982660.0	37.0	161693.51351351352
080	INCISIÓN DE PARPADO	16767.0	1.0	16767.0
081	PROCEDIMIENTOS DIAGNÓSTICOS EN PARPADOS	38329.0	239.0	160.3723849372385
082	ESCISIÓN O ABLACIÓN DE LESIÓN O TEJIDO DE PARPADO INCLUYE: AQUELLA POR TUMOR BENIGNO O MALIGNO	660348.0	6.0	110058.0
083	REPARACIÓN DE BLEFAROPTOSIS Y RETRACCIÓN DE BORDES PALPEBRALES	1139.0	1.0	1139.0
089	OTROS PROCEDIMIENTOS EN PARPADOS O CEJAS	106000.0	2.0	53000.0
094	MANIPULACIÓN DEL CONDUCTO LAGRIMAL  INCLUYE: AQUELLA CON DILATACIÓN, EXTRACCIÓN DE CALCULOS  ENTRE OTRAS CAUSAS Excluye:    DACRIOCISTOGRAFIA (87.4.6)	90620.0	3.0	30206.666666666668
097	REPARACIÓN DE PUNTO Y CANALÍCULO LAGRIMAL Excluye: REPARACIÓN DE PARPADO (08.8)	2190311.0	3.0	730103.6666666666
103	ESCISIÓN O ABLACIÓN DE LESIÓN O TEJIDO DE CONJUNTIVA	2239479.0	8.0	279934.875
104	CONJUNTIVOPLASTIA INCLUYE: TRASPLANTE, PLASTIA O PERITOMÍA	1275000.0	1.0	1275000.0
107	OTROS PROCEDIMIENTOS EN CONJUNTIVA	22380.0	3.0	7460.0
115	REPARACIÓN DE CORNEA	1049551.0	3.0	349850.3333333333
117	CIRUGIA RECONSTRUCTIVA Y REFRACTIVA EN CORNEA	1284.0	21.0	61.142857142857146
121	IRIDOTOMÍA E IRIDECTOMÍA SIMPLE Excluye: IRIDECTOMIA ASOCIADA CON : ESCISIÓN DE LESIÓN (12.4), EXTRACCIÓN DE CATARATA (13.1,13.2,13.6) FISTULIZACION ESCLERAL (12,6)	1923457.0	5.0	384691.4
123	IRIDOPLASTIA Y PUPILOPLASTIA	120.0	1.0	120.0
126	FISTULIZACIÓN ESCLERAL	1430060.0	1.0	1430060.0
129	OTROS PROCEDIMIENTOS EN IRIS, CUERPO CILIAR Y CAMARA ANTERIOR	628260.0	1.0	628260.0
132	EXTRACCIÓN EXTRACAPSULAR DE CRISTALINO	4728565.0	2.0	2364282.5
136	OTRA EXTRACCIÓN DE CATARATA	2466336.0	6.0	411056.0
137	INSERCIÓN DE CRISTALINO PROTESICO (PSEUDOCRISTALINO)	2185492.0	4.0	546373.0
138	EXTRACCIÓN DE CRISTALINO IMPLANTADO	2502932.0	2.0	1251466.0
141	PROCEDIMIENTOS DIAGNÓSTICOS EN RETINA, COROIDES, VITREO Y CAMARA POSTERIOR	10270200.0	4.0	2567550.0
142	ABLACIÓN DE LESIÓN EN RETINA Y COROIDES INCLUYE: AQUELLA  POR CORIORETINOPATÍA O LESIÓN CORIORETINAL AISLADA Excluye: AQUELLA PARA REPARACIÓN DE RETINA (14.3 ,14.5)	9741.0	1.0	9741.0
143	REPARACIÓN DE RETINA + INCLUYE: REPARACIÓN DE DEFECTO RETINAL Excluye: REPARACIÓN DE DESPRENDIMIENTO RETINAL (14.5)	1816.0	1.0	1816.0
150	PROCEDIMIENTOS DIAGNÓSTICOS EN MUSCULOS Y TENDONES EXTRAOCULARES	33678.0	1.0	33678.0
164	ENUCLEACIÓN DEL GLOBO	102528.0	1.0	102528.0
168	REPARACIÓN DE LESIÓN DE GLOBO Y ÓRBITA	743263.0	2.0	371631.5
169	OTROS PROCEDIMIENTOS EN ORBITA Y GLOBO	3989700.0	1.0	3989700.0
182	ESCISIÓN DE TEJIDO O ABLACIÓN DE LESIÓN DE OÍDO EXTERNO	314100.0	1.0	314100.0
